Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5uxYTDNKEOxcrlWyuMNjaM,"DotA - Radio Edit","Now You're Gone - The Album","Basshunter",2008-01-15,200560,60,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-19T19:43:00Z,"eurodance,europop","WM Sweden",0.46,0.962,0,-6.447,1,0.112,0.0084,0.00199,0.186,0.532,140.047,4
spotify:track:3yM2nErrfkUTNomdVlmL9V,"La vie à 2","Clandestino","Manu Chao",1998-10-06,180573,48,false,bob_varney,2025-08-19T19:27:14Z,"latina alternativa","Radio Bemba",0.696,0.613,5,-8.887,0,0.042,0.786,0.0000788,0.104,0.592,157.876,3
spotify:track:6EMP27Iax2P3LrfFggIt1c,"Apho","Variables","Alfa Mist;Bongeziwe Mabandla",2023-04-21,178173,24,false,mralecolo,2025-08-19T20:08:43Z,"nu jazz,jazz rap,jazz fusion,jazz,indie jazz,soul afro,afropop","Anti/Epitaph",0.257,0.472,9,-13.065,0,0.0523,0.00708,0.00151,0.108,0.156,83.937,3
spotify:track:0GIQeAELQSy10NHp3AUE0L,"ANDIAMO","ANDIAMO","Ardian Bujupi;Capital T",2017-07-28,184000,48,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-19T20:24:16Z,"hip hop tedesco","Ardian Bujupi",0.871,0.688,7,-3.944,1,0.153,0.545,0.0000102,0.0788,0.805,101.987,4
spotify:track:65uoaqX5qcjXZRheAj1qQT,"Dernière danse","Mini World","Indila",2014-01-01,213493,78,false,15ap198hsn5e4balkq3gqjv3t,2025-08-19T19:40:58Z,"pop francese","Universal Music Division Island Def Jam",0.669,0.449,0,-7.658,0,0.049,0.184,0,0.0729,0.327,114.924,4
spotify:track:3S9aIzgHKk5IsyVCsIymIq,"Riquiquí","KiCk i","Arca",2020-06-26,159621,39,false,mralecolo,2025-08-19T20:16:03Z,"neoperreo,sperimentale,art pop,hyperpop","XL Recordings",0.48,0.804,1,-7.906,1,0.459,0.0317,0.00000392,0.841,0.6,89.762,3
spotify:track:0hcvwkxhxlIRdeLb1dWJBT,"Зима в сердце","Зима в сердце","Moya Mishel",2021-07-30,245187,46,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-19T20:26:55Z,"","Моя Мишель",0.648,0.761,5,-5.1,0,0.0372,0.102,0,0.229,0.602,108.105,4
spotify:track:03UrZgTINDqvnUMbbIMhql,"Gangnam Style (강남스타일)","Gangnam Style (강남스타일)","PSY",2012-01-01,219493,75,false,15ap198hsn5e4balkq3gqjv3t,2025-08-19T19:44:08Z,"k-pop","Silent Records/Universal Republic Records",0.727,0.937,11,-2.871,0,0.286,0.00417,0,0.091,0.749,132.067,4
spotify:track:52Zr0sinhWTCRrQhRRY4EP,"Dragostea din tei","DiscO-Zone","O-Zone",2004-02-23,215386,70,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-19T19:43:37Z,"europop,eurodance","Cat Music",0.802,0.966,0,-3.933,1,0.0424,0.18,0,0.0611,0.684,130.099,4
spotify:track:6UDLl5lVzMMe4hCpk1v3e3,"Vértükör","Töviskert… a kísértés örök érzete… lidércharang","Rothadás",2025-03-21,452134,9,false,bob_varney,2025-08-19T19:30:45Z,"death metal,doom metal","Me Saco Un Ojo Records",0.158,0.98,1,-4.999,0,0.0861,0.00000194,0.786,0.136,0.0947,176.086,4
spotify:track:3dSQT6f7Tv1h2sqJszJaum,"Doomad","Dance Party, Vol 6 - Persian Music","Shahram Shabpareh",1998-12-23,360866,31,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-19T20:35:50Z,"","Caltex Records",0.712,0.419,0,-14.604,1,0.147,0.104,0.0000146,0.151,0.527,125.603,4
spotify:track:2MlOUXmcofMackX3bxfSwi,"Jerusalema (feat. Nomcebo Zikode)","Jerusalema","Master KG;Nomcebo Zikode",2020-01-24,342612,71,false,15ap198hsn5e4balkq3gqjv3t,2025-08-19T19:50:08Z,"amapiano,gqom,afrobeats","Elektra France",0.88,0.483,1,-7.012,1,0.0505,0.0185,0.00000868,0.0607,0.827,124.009,4
spotify:track:5NYbpv0lFOHfQZGUOD5oUh,"Les Cactus","The Dream Synopsis","The Last Shadow Puppets",2016-12-02,200673,22,false,mralecolo,2025-08-19T20:12:17Z,"pop barocco","Domino Recording Co",0.322,0.868,11,-6.1,0,0.134,0.00548,0.0000434,0.884,0.4,129.918,4
spotify:track:2haSsVAgpi5jW7IHEd8Eza,"Utrennyaya gimnastika","Rebetiko Gymnastas","Vinicio Capossela",2012-06-12,158626,10,false,bob_varney,2025-08-19T19:33:51Z,"cantautorato italiano,cantautorato","WMI Italy",0.892,0.459,9,-10.768,1,0.165,0.644,0,0.194,0.972,112.078,5
spotify:track:71qalyQy27kGUqX84aBipO,"Eva (Kavkaz remix)","Eva (Kavkaz remix)","Vintage;Bedanokov;Люай",2025-06-26,142080,56,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-19T19:50:56Z,"","VK Records / Velvet Music",0.645,0.93,1,-3.741,0,0.0663,0.119,0.0000174,0.0544,0.445,125,4
spotify:track:46DZCruzZuDWYinEI25UPo,"Ave Maria - Schubert","Ave Maria","Hannah Holgersson",2012-12-11,322320,49,false,15ap198hsn5e4balkq3gqjv3t,2025-08-19T19:54:26Z,"","TZ-Records",0.245,0.0509,10,-21.272,1,0.0387,0.986,0.778,0.105,0.0524,141.348,4
spotify:track:6hiih2QMbG6eUbEMwKNzCB,"Fogh In Nakhal - 2008 Remaster","Caffé De La Paix (2008 Remastered Edition)","Franco Battiato;Abdul Halim Sabra",1993,213040,14,false,mralecolo,2025-08-19T20:19:27Z,"cantautorato italiano,cantautorato","CAPITOL MUSIC",0.524,0.618,10,-7.655,0,0.0326,0.562,0.00145,0.321,0.403,110.05,4
spotify:track:131yybV7A3TmC34a0qE8u8,"Tunak Tunak Tun","Tunak Tunak Tun","Daler Mehndi",1998-02-28,303133,56,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-19T20:54:53Z,"bhangra,bollywood","Magnasound",0.794,0.977,10,-5.637,1,0.178,0.526,0.00196,0.0616,0.687,150.008,4
spotify:track:3gVhsZtseYtY1fMuyYq06F,"Sonne","Mutter","Rammstein",2001-04-02,272440,77,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-19T20:11:23Z,"industrial metal,metal,industrial rock,industrial","Vertigo Berlin",0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4
spotify:track:5XusfziashAhle5LwVQC1Y,"Leviatan","Khthonie","Dalila Kayros",2025-04-04,179000,4,false,bob_varney,2025-08-19T19:38:16Z,"avant-garde","Subsound Records",0.765,0.671,6,-8.12,0,0.0719,0.0352,0.428,0.0859,0.568,89.992,4
spotify:track:1xaTREM89RbIxkcjlpf4Uw,"Heaven Knows I'm Miserable Now - 2011 Remaster","Hatful of Hollow","The Smiths",1984,215760,80,false,mralecolo,2025-08-25T10:05:28Z,"new wave,madchester,jangle pop","WM UK",0.609,0.759,6,-4.862,1,0.0276,0.028,0,0.183,0.774,114.045,4
spotify:track:2rPbBONzBW14kNvVF9Qy7E,"I Dreamed A Dream - From ""Les Misérables""","Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)","Anne Hathaway",2013-01-01,277533,50,false,15ap198hsn5e4balkq3gqjv3t,2025-08-25T10:13:22Z,"musical","Polydor Records",0.274,0.0742,10,-17.234,1,0.0456,0.94,0.0000237,0.0869,0.15,93.48,4
spotify:track:5cZqsjVs6MevCnAkasbEOX,"Break Stuff","Significant Other","Limp Bizkit",1999,166706,83,true,bob_varney,2025-08-25T12:31:12Z,"nu metal,rap metal,metal alternativo,rap rock","Interscope",0.432,0.884,8,-6.657,1,0.128,0.0128,0.000457,0.166,0.619,108.835,4
spotify:track:2E7KGurNDw1b5nSLyjuPuP,"Una cosa stupida","Aurora","i cani",2016-01-29,203400,39,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-25T17:08:20Z,"indie","42 Records",0.694,0.346,1,-9.404,0,0.0564,0.665,0.0000158,0.0918,0.277,172.938,4
spotify:track:5luCaDrc2ttzEjNp4ivaW0,"Devil Trigger","DEVIL MAY CRY 5 Original SoundTrack","Casey Edwards",2019-03-20,405299,62,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-25T19:47:23Z,"vgm giapponese","CAPCOM SULEPUTER",0.504,0.934,6,-6.886,1,0.256,0.000104,0.388,0.11,0.355,159.947,4
spotify:track:7eGuPhpdS8sBjPJNuAShUX,"What Is This Feeling?","Wicked: The Soundtrack","Ariana Grande;Cynthia Erivo",2024-11-22,228947,70,false,15ap198hsn5e4balkq3gqjv3t,2025-08-25T10:13:32Z,"pop,musical","Universal Studios and Republic Records",0.607,0.48,1,-8.81,1,0.12,0.691,0,0.111,0.637,151.909,4
spotify:track:0Y2i84QWPFiFHQfEQDgHya,"People = Shit","Iowa (10th Anniversary Edition)","Slipknot",2001,215600,68,true,bob_varney,2025-08-25T12:32:32Z,"nu metal,metal,metal alternativo,rap metal,heavy metal","Roadrunner Records",0.462,0.996,11,-2.973,0,0.231,0.000058,0.00377,0.139,0.145,122.072,4
spotify:track:3Xfg7AegXaDLoD5GOUMf2e,"My Demons","Transmissions (Deluxe Version)","STARSET",2014,288036,71,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-25T19:48:17Z,"","Fearless Records",0.274,0.652,5,-6.196,0,0.0625,0.00768,0.0000642,0.108,0.1,173.008,4
spotify:track:1EQFOouqdKYdpbNoOHRVO2,"abcdefu (angrier)","abcdefu (angrier)","GAYLE",2021-09-24,159836,64,true,3172n4ykfida5xhdvoynxxppdkoa,2025-08-25T17:08:39Z,"","Atlantic Records/Arthouse Records",0.671,0.599,4,-6.18,1,0.0405,0.0658,0,0.101,0.448,121.849,3
spotify:track:1lATXTBJDHwawvT1UfxWu3,"The Pot","10,000 Days","TOOL",2006-04-28,381946,71,true,mralecolo,2025-08-25T10:05:37Z,"progressive metal,metal alternativo,rock progressivo,metal","RCA Records Label",0.469,0.79,7,-6.889,1,0.0391,0.000148,0.372,0.282,0.466,107.45,4
spotify:track:66uYWEw9gJxkPw6STqNcKl,"The Gentle Art of Making Enemies - 2016 Remaster","King for a Day, Fool for a Lifetime (2016 Remaster; Deluxe Edition)","Faith No More",1995,208706,44,false,bob_varney,2025-08-25T12:34:08Z,"funk rock,metal alternativo,rap metal,grunge","Rhino/Slash",0.412,0.939,11,-5.573,1,0.168,0.0471,0.066,0.214,0.328,170.133,4
spotify:track:4DuE7W3HEq037BuHzas2Ym,"Kill All the White People","Bloody Kisses (Top Shelf Edition)","Type O Negative",1994-05-10,204040,38,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-27T05:34:44Z,"gothic metal,rock gotico,doom metal","Roadrunner Records",0.318,0.879,1,-9.102,1,0.0766,0.000131,0.272,0.0756,0.309,95.456,4
spotify:track:3ubGHUhPi5x7RSHqWXseq8,"Bust Your Windows","Glee: The Music, Volume 1","Glee Cast",2009-11-02,260133,53,false,15ap198hsn5e4balkq3gqjv3t,2025-08-25T10:13:49Z,"natale","Columbia",0.409,0.774,7,-4.716,0,0.122,0.606,0.00000163,0.0821,0.734,110.033,4
spotify:track:4Uiw0Sl9yskBaC6P4DcdVD,"Be Quiet and Drive (Far Away)","Around the Fur","Deftones",1997-10-27,299866,79,false,mralecolo,2025-08-25T10:05:47Z,"nu metal,metal alternativo,rap metal,shoegaze,rock","Maverick",0.206,0.965,1,-5.116,1,0.079,0.00000991,0.827,0.367,0.168,92.615,4
spotify:track:4uUQRXBBqtUNstHF4q5L4u,"Breaking Point","Worlds Collide","Dead by April",2017-04-07,228666,34,false,316ds5hibyn3gvdiaeoukbfd7one,2025-08-27T05:37:06Z,"metalcore","Universal Music AB",0.362,0.923,4,-4.685,0,0.237,0.0000976,0.138,0.185,0.303,147.466,4
spotify:track:1APdUsdl29A5KAqsVTMh2s,"Non farò mai quello che vuoi","Kinotto","Skiantos",2003-10-01,182786,14,false,bob_varney,2025-08-25T12:39:48Z,"cantautorato italiano","Latlantide",0.846,0.925,0,-5.389,1,0.0492,0.134,0.00002,0.038,0.956,126.333,4
spotify:track:4uytiW8D73yWQHkg1PzYlB,"The Winner Takes It All - From ""Mamma Mia!""","Mamma Mia! The Movie Soundtrack","Meryl Streep",2008-01-01,297933,69,false,15ap198hsn5e4balkq3gqjv3t,2025-08-25T10:14:01Z,"musical","Polydor Records",0.427,0.377,5,-8.136,1,0.0334,0.682,0,0.105,0.245,125.081,4
spotify:track:6ylAVPbjRQoNY0khgh63Jf,"Fuck You","It's Not Me, It's You","Lily Allen",2009-01-26,219893,56,true,mralecolo,2025-08-25T10:05:54Z,"","Parlophone UK",0.775,0.904,1,-4.08,0,0.0437,0.0271,0.000303,0.06,0.84,130.009,4
spotify:track:0RQXlRyDO2zsAnO9QxAeNQ,"Spacco Tutto","Che Bello Essere Noi","Club Dogo",2010-01-01,225320,38,true,3172n4ykfida5xhdvoynxxppdkoa,2025-08-25T17:09:00Z,"trap italiana","Universal Music Italia srL.",0.703,0.656,1,-7.486,1,0.214,0.0459,0,0.337,0.757,141.965,4
spotify:track:0UTCSheV2ceAXo6fpPMptn,"War is the Answer","War is the Answer","Five Finger Death Punch",2009-09-22,198320,40,true,316ds5hibyn3gvdiaeoukbfd7one,2025-08-27T05:39:45Z,"metal,groove metal,heavy metal,hard rock,rock","Eleven Seven Music",0.503,0.958,11,-3.522,0,0.104,0.0000435,0.0136,0.12,0.399,184.09,4
spotify:track:7uBlznv2TJpvjHCzY7K8wO,"Scusa - prod. thasup","Scusa (prod. thasup)","Mara Sattei",2021-04-09,182726,30,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-25T17:09:37Z,"trap italiana","Columbia",0.732,0.673,10,-5.39,0,0.0415,0.573,0,0.123,0.676,97.509,3
spotify:track:3dkIE8P7hvl3tHl9KSb6dA,"Non, je ne regrette rien","Eternelle","Édith Piaf",1987-10-31,142280,67,false,mralecolo,2025-08-25T10:06:06Z,"chanson,variété française,jazz francese","Parlophone (France)",0.382,0.354,7,-6.595,1,0.0289,0.858,0.00000311,0.168,0.435,87.018,4
spotify:track:1jDJFeK9x3OZboIAHsY9k2,"I'm Still Standing","Too Low For Zero","Elton John",1983-05-30,183440,82,false,15ap198hsn5e4balkq3gqjv3t,2025-08-25T10:14:08Z,"","EMI",0.505,0.904,6,-6.863,1,0.179,0.355,0.118,0.14,0.773,176.811,4
spotify:track:0lP4HYLmvowOKdsQ7CVkuq,"The Kill","A Beautiful Lie","Thirty Seconds To Mars",2005-08-16,231533,79,false,3172n4ykfida5xhdvoynxxppdkoa,2025-08-25T17:09:11Z,"","Virgin Records",0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,3
spotify:track:5hjKYe3NOmWx2NVzVAeIGF,"Fuck the System","Steal This Album!","System Of A Down",2002-11-26,132733,61,true,bob_varney,2025-08-25T12:47:38Z,"nu metal,metal,metal alternativo,rap metal,rock","American/Columbia",0.473,0.994,8,-1.884,1,0.104,0.00215,0.123,0.314,0.841,171.435,4
spotify:track:6d67Xv8ms2noA8wWFLiPDN,"Twilight","Twilight","bôa",2001-03-21,228800,71,false,3172n4ykfida5xhdvoynxxppdkoa,2025-09-03T14:49:05Z,"","Nettwerk Music Group",0.386,0.826,11,-7.847,0,0.114,0.158,0.000489,0.101,0.376,187.094,4
spotify:track:4R2kfaDFhslZEMJqAFNpdd,"cardigan","folklore","Taylor Swift",2020-07-24,239560,86,false,15ap198hsn5e4balkq3gqjv3t,2025-09-01T07:02:05Z,"","Taylor Swift",0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
spotify:track:7xsDSbTaQnONSMV4ahM6aC,"Impressioni di settembre","Fleurs 3","Franco Battiato",2002-08-30,220560,25,false,bob_varney,2025-09-05T18:07:49Z,"cantautorato italiano,cantautorato","Columbia",0.333,0.601,0,-5.573,1,0.0465,0.225,0.00000986,0.2,0.3,162.402,4
spotify:track:1rk9eGO7AkPX1oafUuOnGs,"Blue Ridge Mountains","Fleet Foxes","Fleet Foxes",2008-06-09,265773,50,false,mralecolo,2025-09-02T08:47:28Z,"indie folk,folk,indie","Nonesuch",0.524,0.446,8,-7.823,0,0.0275,0.688,0.000745,0.101,0.272,97.856,4
spotify:track:3ZffCQKLFLUvYM59XKLbVm,"Wake Me up When September Ends","American Idiot","Green Day",2004-09-21,285653,81,false,316ds5hibyn3gvdiaeoukbfd7one,2025-09-06T06:00:21Z,"punk,pop punk","Reprise",0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,4
spotify:track:6IPwKM3fUUzlElbvKw2sKl,"we fell in love in october","we fell in love in october / October Passed Me By","girl in red",2018-11-21,184153,84,false,15ap198hsn5e4balkq3gqjv3t,2025-09-01T07:02:12Z,"bedroom pop","world in red",0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4
spotify:track:5RNfGG48vPGMPQnV6F7x30,"September Sun","Dead Again","Type O Negative",2007-03-13,587671,45,false,bob_varney,2025-09-05T18:15:16Z,"gothic metal,rock gotico,doom metal","Nuclear Blast",0.261,0.734,6,-6.4,1,0.0491,0.0571,0.00668,0.205,0.203,125.361,4
spotify:track:3XHrTm6WE2BOHafLwTT3GR,"Eyes on Fire","Life Of A Ghost","Blue Foundation",2007-09-24,302826,68,false,316ds5hibyn3gvdiaeoukbfd7one,2025-09-06T06:02:43Z,"","Parlophone Denmark",0.544,0.383,3,-10.143,0,0.0334,0.67,0.00204,0.125,0.367,145.025,4
spotify:track:5rfT032kGmLvbxZzfHlu5D,"In the Aeroplane Over the Sea","In the Aeroplane Over the Sea","Neutral Milk Hotel",1998-02-20,202346,65,false,mralecolo,2025-09-02T08:48:21Z,"anti-folk,folk punk","Merge Records",0.271,0.714,7,-5.124,1,0.0329,0.392,0,0.115,0.239,94.158,3
spotify:track:1fYFSYF2YEysxnuOgW1wji,"I Can't Say No! - Broiler Remix","I Can't Say No!","Lea Rue;Broiler",2015,204375,11,false,3172n4ykfida5xhdvoynxxppdkoa,2025-09-03T14:49:25Z,"pop norvegese,russelåter","JE | Just Entertainment",0.728,0.589,11,-9.17,0,0.0534,0.136,0.000917,0.109,0.227,127.998,4
spotify:track:0tVxMtLxFlc6y4xSX41vKX,"Summertime Sadness","The Q-Music Sessions","Within Temptation",2013-04-19,246720,44,false,bob_varney,2025-09-06T20:18:14Z,"metal sinfonico,gothic metal,rock gotico,power metal,metal","Force Music Recordings",0.587,0.933,5,-4.727,0,0.0425,0.00271,0.00000623,0.228,0.501,118.059,4
spotify:track:5HzrX4aKVfb1NQCsaqf6R0,"Cocaine Sunday","Sensitive G","Eyedress",2018-11-16,168739,64,false,3172n4ykfida5xhdvoynxxppdkoa,2025-09-03T14:49:44Z,"","Lex Records",0.544,0.765,4,-6.491,1,0.0259,0.00818,0.821,0.15,0.429,153.916,4
spotify:track:1ZgMsA55GIY7ICkQh5MILA,"Space Song","Depression Cherry","Beach House",2015-08-28,320466,74,false,mralecolo,2025-09-02T08:50:13Z,"dream pop","Bella Union",0.508,0.786,0,-7.295,0,0.0293,0.226,0.14,0.143,0.611,147.077,4
spotify:track:1z9rTmGfW46p4eXimajRwV,"Cinnamon Girl","October Rust","Type O Negative",1996-08-19,248333,35,false,316ds5hibyn3gvdiaeoukbfd7one,2025-09-06T06:04:40Z,"gothic metal,rock gotico,doom metal","Roadrunner Records",0.484,0.913,1,-5.942,1,0.045,0.13,0.78,0.0992,0.465,99.052,4
spotify:track:0EF1EE8zusg3Y869e56JFd,"Nothing's New","Good God!","Rio Romeo",2022-09-23,211000,79,false,15ap198hsn5e4balkq3gqjv3t,2025-09-01T07:02:29Z,"","FRTYFVE",0.421,0.394,11,-8.312,1,0.0277,0.863,0.00000474,0.0984,0.399,96.192,3
spotify:track:4RqukTe8L59wgiO6fzHvzf,"The Humbling River","C Is For (Please Insert Sophomoric Genitalia Reference Here)","Puscifer",2009-11-10,305520,47,false,bob_varney,2025-09-06T16:50:55Z,"industrial rock","BMG Rights Management (US) LLC",0.554,0.327,4,-12.79,0,0.03,0.796,0.00763,0.125,0.0341,144.171,4
spotify:track:0AJTKW9fVFo3rIXbtTVE3T,"Mayonaise - 2011 Remaster","Siamese Dream (2011 - Remaster)","The Smashing Pumpkins",1993-07-27,348773,48,false,mralecolo,2025-09-02T08:50:26Z,"rock alternativo,rock","Virgin Records",0.482,0.529,10,-10.426,1,0.0271,0.000107,0.546,0.0839,0.0879,145.969,4
